No,SubNo,分類,スキルカテゴリ,サブカテゴリ,スキルレベル,チェック項目,VC,DE,必須スキル
77,12,データ課題解決,アプローチ設計,分析設計,★★,解くべき課題がフレーミングされていれば、必要な分析手法、可視化などを適切に選択できる,＊,,◯
78,13,データ課題解決,アプローチ設計,分析設計,★★★,複数のアプローチの組み合わせでしか解けない課題であっても、その解決までの道筋を設計できる,＊,＊,
79,14,データ課題解決,アプローチ設計,分析評価設計,★★,担当するプロジェクトの分析目的と想定される分析結果の整合性を踏まえた評価を設計できる,＊,,◯
80,15,データ課題解決,アプローチ設計,分析評価設計,★★,分析結果が当初の目的を満たしていない場合に、問題を正しく理解し、目的達成に向けて必要な分析手順を追加・変更できる,＊,,◯
81,16,データ課題解決,アプローチ設計,分析評価設計,★★★,生成AIを活用したアウトプットに対して、ビジネス観点での検証プロセスの設計とアウトプットの評価軸を検討できる,＊,,
82,1,データ課題解決,データの理解・検証,データ確認,★,単独のグラフに対して、集計ミスや記載ミスなどがないかチェックできる,＊,,◯
83,2,データ課題解決,データの理解・検証,データ確認,★,データ項目やデータの量・質について、指示のもと正しく検証し、結果を説明できる,＊,,
84,3,データ課題解決,データの理解・検証,データ確認,★★,複数のグラフや集計表で構成されているレポートに対して、全体として集計ミスや不整合が起きていないかチェックできる,＊,,◯
85,4,データ課題解決,データの理解・検証,データ確認,★★,データ項目やデータの量・質の検証方法を計画・実行し、その結果をもとにその後の分析プロセスを立案・修正できる,＊,,
86,5,データ課題解決,データの理解・検証,データ確認,★★★,多数のグラフ、集計表、外部の統計情報、高度なデータ解析手法を用いた解析結果などを含むレポートに対して、不整合が起きていないか、妥当性の高い論理構造であるかチェックできる,＊,,
87,6,データ課題解決,データの理解・検証,データ確認,★★★,分析に必要なデータを想定し、現在取得可能なデータの量・質で分析に耐えうるか、分析目的が達成可能であるかを判断できる,＊,,◯
88,7,データ課題解決,データの理解・検証,俯瞰・メタ思考,★★,データを俯瞰して、変化をすみやかに察知するとともに、変化が誤差の範囲かどうか判断できる,＊,,◯
89,8,データ課題解決,データの理解・検証,俯瞰・メタ思考,★★★,複数のデータを多元的かつ大局的に俯瞰して、大きな動きや本質的な事実を見抜くことができる,＊,,◯
90,9,データ課題解決,データの理解・検証,データ理解,★,どのような知見を得たいのか、目的に即して集計し、データから事実を把握できる,＊,,◯
91,10,データ課題解決,データの理解・検証,データ理解,★,データから事実を正しく浮き彫りにするために、集計の切り口や比較対象の設定が重要であることを理解している,＊,,◯
92,11,データ課題解決,データの理解・検証,データ理解,★,普段業務で扱っているデータの発生トリガー・タイミング・頻度などを説明でき、また基本統計量や分布の形状を把握している,＊,,
93,12,データ課題解決,データの理解・検証,データ理解,★★,生データを眺めて、どのような切り口で集計・比較すればデータの理解や事実の把握につながるか検討できる,＊,,◯
94,13,データ課題解決,データの理解・検証,データ理解,★★,扱ったことのない新たなデータに内容の不明な項目があっても、生データの閲覧や集計を通して何の項目かあたりをつけられる,＊,,
95,14,データ課題解決,データの理解・検証,データ理解,★★,扱っているデータの関連業務の知識と分析目的を踏まえて、どんな説明変数が効きそうか、あたりをつけて洗い出し、構造的に整理できる（変数のグループ化や階層化など）,＊,,
96,15,データ課題解決,データの理解・検証,データ理解,★★★,データの変化から起きている事象の背景を構造的に推察し、仮説を立て、検証方法を企画実行できる,＊,,
97,16,データ課題解決,データの理解・検証,データ理解,★★★,データを入手する前に、存在するであろうデータとその分布を想定して基礎俯瞰の方向性やその結果の想定ができ、それを前提とした解析方法の検討・ラフ設計をすることができる,＊,,
98,17,データ課題解決,データの理解・検証,データ理解,★★★,扱ったことのない新たなデータであっても、ER図やテーブル定義、生データなどを見ることによってデータの発生源や欠損値の意味などのあたりをつけられる,＊,＊,
99,18,データ課題解決,データの理解・検証,データ粒度,★★,分析目的とデータの量・質を踏まえて、想定されるメッセージと統計的観点から適切な集計単位やサンプリング率を決定できる,＊,,
100,19,データ課題解決,データの理解・検証,データ粒度,★★★,分析目的とデータの量・質に加えて、想定しているメッセージ、深掘りの方向性・可能性、処理負荷、データ処理フローなども総合的に踏まえた最適な集計単位やサンプリング率を決定できる,＊,＊,
101,1,解析技術,データ準備,サンプリング,★,標本誤差およびサンプリングバイアス、およびそれぞれの違いについて説明できる,,,◯
102,2,解析技術,データ準備,サンプリング,★,実験計画法の基本的な3原則（局所管理化、反復、無作為化）について説明できる,,,
103,3,解析技術,データ準備,サンプリング,★★,調査対象の母集団の規模・特性や調査コストに応じて、多段階抽出法や層化抽出法など適切な標本抽出方法を計画できる,,,
104,4,解析技術,データ準備,サンプリング,★★,属性数と水準数が決まれば適切な直交表を選択し実験計画ができる,,,
105,5,解析技術,データ準備,サンプリング,★★,サンプルサイズを見れば信頼水準を95%としたときの標本誤差レベルについて概ね判断できる,,,◯
106,6,解析技術,データ準備,データクレンジング,★,外れ値・異常値・欠損値とは何かを理解し、指示のもと適切に検出と除去・変換などの対応ができる,,＊,◯
107,7,解析技術,データ準備,データクレンジング,★★,データの特性（分布、欠損パターン）、分析目的、モデル特性を考慮して、外れ値・異常値・欠損値の対応方針を決定できる,,,◯
108,8,解析技術,データ準備,データクレンジング,★★,非構造化データ（画像、テキストなど）に対して、品質チェックや不適切コンテンツの検出を行い、データセットのクリーニングができる,,,
109,9,解析技術,データ準備,データ加工,★,標準化とは何かを理解し、適切に標準化が行える,,,◯
110,10,解析技術,データ準備,データ加工,★,名義尺度の変数をダミー変数に変換できる,,,◯
111,11,解析技術,データ準備,データ加工,★★,加工データに不具合がないか確認方法を設計し、検証できる（合計値の照合や、分布の確認など検証項目の設計と実行）,＊,,◯
112,12,解析技術,データ準備,データ加工,★★★,加工データの統計的な俯瞰によって不具合の早期発見ができるとともに、統計的観点で次ステップの解析に耐えうるデータであるか評価できる,,,◯
113,13,解析技術,データ準備,特徴量エンジニアリング,★,数値データの特徴量化（二値化／離散化、対数変換、スケーリング／正規化、交互作用特徴量の作成など）を行うことができる,,＊,
114,14,解析技術,データ準備,特徴量エンジニアリング,★★,カテゴリデータの特徴量化ができる（ダミー変数化、特徴量ハッシング[カテゴリ数が多い場合の値の割り当て]、ビンカウンティング、バックオフ、最小カウントスケッチ[レアなカテゴリのまとめ処理]など）,,＊,
115,15,解析技術,データ準備,特徴量エンジニアリング,★★,k-means、k近傍法、t-SNEなどを用いた、類似度または非類似度に着目した特徴量を作成できる,,,
116,16,解析技術,データ準備,特徴量エンジニアリング,★★,周期的な意味合いをもつ特徴量を適切な周期の三角関数を用いて変換できる,,,
117,17,解析技術,データ準備,特徴量エンジニアリング,★★,時系列データに対し周期性やトレンドなどを考慮して、階差、移動平均、移動標準偏差、移動最大、移動最小、ラグなどの特徴量を作成できる,＊,,
118,18,解析技術,データ準備,特徴量エンジニアリング,★★,複数のデータセットから、結合や集計などを組み合わせ、有効な特徴量を作成できる（ユーザごとの過去1ヵ月間の購買金額合計など）,＊,,◯
119,19,解析技術,データ準備,特徴量エンジニアリング,★★,深層学習の手法を活用して特徴量（LLMによるトピック抽出、座標系データのCNNによる変換、Embeddingによるベクトル化など）を生成できる,,,
120,20,解析技術,データ準備,特徴量エンジニアリング,★★★,ドメイン知識に基づく洞察から有効な特徴量を効率的に作成できる（類似商品との価格差、借入額と返済額の比など）,＊,,
121,21,解析技術,データ準備,特徴量エンジニアリング,★★★,有用と思われるデータを新たに調達し、既知のデータと組み合わせることで有効な特徴量を作成できる（業界特有なカレンダー、地理空間的な類似度を考慮した集計値など）,＊,,
122,1,解析技術,データ可視化,方向性定義,★,可視化における目的の広がりについて概略を説明できる（単に現場の作業支援する場合から、ビッグデータ中の要素間の関連性をダイナミックに表示する場合など）,＊,,
123,2,解析技術,データ可視化,方向性定義,★★,可視化の役割・方向性を判別できる - 特異点を明確にする - データ解析部門以外の方にデータの意味を正しく伝える - 現場の作業を支援する など,＊,,
124,3,解析技術,データ可視化,方向性定義,★★★,データ量が膨大で構造が捉えにくい場合や、アウトプットが想像しにくい場合であっても、可視化の役割・方向性を判断できる（ビッグデータ中の要素間の関連性をダイナミックに表現する、細部に入りきらずに問に対して答えを出すなど）,,,
125,4,解析技術,データ可視化,軸出し,★,散布図などの軸出しにおいて、目的やデータに応じて縦軸・横軸の候補を適切に洗い出せる,＊,,◯
126,5,解析技術,データ可視化,軸出し,★,積み上げ縦棒グラフでの属性の選択など、目的やデータに応じて適切な層化（比較軸）の候補を出せる,＊,,◯
127,6,解析技術,データ可視化,軸出し,★★,抽出したい意味にふさわしい軸・層化の粒度、順番を考慮して軸のきざみや層化方法を選択できる,＊,,◯
128,7,解析技術,データ可視化,軸出し,★★,膨大な属性を持つテーブルから目的に有用な属性を選択できる,＊,,
129,8,解析技術,データ可視化,軸出し,★★★,非構造化データから分析の軸になりうる候補を抽出し、付加すべき属性候補を適切に出せる,＊,,
130,9,解析技術,データ可視化,データ加工,★,サンプリングやアンサンブル平均によって適量にデータ量を減らすことができる,＊,,
131,10,解析技術,データ可視化,データ加工,★,読み取りたい特徴を効果的に可視化するために、統計量を使ってデータを加工できる,,,
132,11,解析技術,データ可視化,データ加工,★★,データの持つ分散量の観点で、高次元のデータを主成分分析（PCA）などにより1～3次元のデータに変換できる,,,◯
133,12,解析技術,データ可視化,データ加工,★★★,高次元の非線形な（高次の曲線、渦状の分布などの）データであっても、適切に1～3次元のデータに圧縮して、特徴（データの総分散量および各データの位置関係）を損なわずに可視化できる,,,
134,13,解析技術,データ可視化,データ加工,★★★,ネットワーク構造、グラフ構造などの表現において、ノードとエッジが増えすぎて特徴抽出が困難であっても、データの絞り込みや抽象度を上げることで適切に可視化できる,,＊,
135,14,解析技術,データ可視化,データ加工,★★★,データ量が膨大なために、単なる描画が意味をなさない場合でも、データや情報の適度な抽出（間引き）、クラスター分析などにより可視化しうる状態にデータを加工できる,,＊,
136,15,解析技術,データ可視化,データ加工,★★★,リアルタイム性を要求される大規模データに対し、特異点抽出、次元圧縮、ストリーム処理などの技術を適切に選択・適用し、データの収集から可視化までの一連のデータパイプラインを構築できる,,＊,
137,16,解析技術,データ可視化,表現・実装技法,★,データ解析部門以外の方に、データの意味を可視化して伝える重要性を理解している,＊,,◯
138,17,解析技術,データ可視化,表現・実装技法,★,情報提示の相手や場に応じて適切な情報濃度を判断できる（データインク比の考え方など）,,,
139,18,解析技術,データ可視化,表現・実装技法,★,不必要な誇張をしないための軸表現の基礎を理解できている（コラムチャートのY軸の基準点は「0」からを原則とし軸を切らないなど）,,,◯
140,19,解析技術,データ可視化,表現・実装技法,★,強調表現がもたらす効果と、不適切な強調表現を理解している（計量データに対しては位置やサイズ表現が色表現よりも効果的など）,,,◯
141,20,解析技術,データ可視化,表現・実装技法,★,1～3次元の比較において目的（比較、構成、分布、変化など）に応じ、BIツール、スプレッドシートなどを用いて図表化できる,,＊,◯
142,21,解析技術,データ可視化,表現・実装技法,★,端的に図表の変化をアニメーションで可視化できる（人口動態のヒストグラムが経年変化する様子を表現するなど）,,,
143,22,解析技術,データ可視化,表現・実装技法,★,1～3次元の図表を拡張した多変量の比較を適切に可視化できる（平行座標、散布図行列、テーブルレンズ、ヒートマップなど）,,,
144,23,解析技術,データ可視化,表現・実装技法,★★,ネットワーク構造、グラフ構造、階層構造などの統計的な関係性の可視化ができる,,＊,
145,24,解析技術,データ可視化,表現・実装技法,★★,地理空間情報などを地図に重ね合わせた可視化ができる（コロプレスマップ、ボロノイ図など）,,,
146,25,解析技術,データ可視化,表現・実装技法,★★,挙動・軌跡の可視化ができる（店舗内でのユーザの回遊やEye tracking、ウェアラブル端末の3軸ジャイロセンサーや心拍数など）,,,
147,26,解析技術,データ可視化,表現・実装技法,★★,適切な情報（意味）を押さえた上で、デザイン性を高めるための要件提示ができる,＊,,
148,27,解析技術,データ可視化,表現・実装技法,★★,ドメイン知識とビジネス背景をふまえ、適切な情報項目を参照し、利用者の使い勝手を考慮した可視化したダッシュボードあるいは可視化ツールを設計できる,＊,＊,
149,28,解析技術,データ可視化,表現・実装技法,★★★,人体、標高を持つ地図、球面など３次元空間上にデータを重ね合わせた可視化ができる,,＊,
150,29,解析技術,データ可視化,表現・実装技法,★★★,地図上で同時に動く数百以上のポイントにおける時間変化を動的に表現できる（多地点での風の動き、飛行物の軌跡など）,,＊,
151,30,解析技術,データ可視化,表現・実装技法,★★★,複雑で総合的な表現が求められる場合に、ユーザインターフェースの設計に加え、内部のアルゴリズム設計やシステム環境への負荷調整なども踏まえた可視化ができる,,＊,
152,31,解析技術,データ可視化,意味抽出,★,外れ値を見出すための適切な表現手法を選択できる,,,
153,32,解析技術,データ可視化,意味抽出,★,データの可視化における基本的な視点を挙げることができる（特異点、相違性、傾向性、関連性を見出すなど）,,,◯
154,33,解析技術,データ可視化,意味抽出,★★,統計値（代表値の指標、バラツキの指標、有意性の指標）を正しく読み、回帰式や移動平均線、関係式に意味付けできる,,,◯
155,34,解析技術,データ可視化,意味抽出,★★★,分類・グルーピングの分析において、分布傾向から原因を追究し、活用方針を計画・主導できる（分類に応じたDM発送による反応率の向上など）,＊,,
156,35,解析技術,データ可視化,意味抽出,★★★,予測の分析において、関連性、特異点、変曲点から原因を追究し、活用方針を計画・主導できる（予測結果に基づく発注管理など）,＊,,
157,36,解析技術,データ可視化,意味抽出,★★★,関係性の分析において関連が高い/低い原因を追究し、活用方針を計画・主導できる（レコメンドなど）,＊,,
158,1,解析技術,モデル化,回帰・分類,★,単回帰分析において最小二乗法、回帰係数、標準誤差、決定係数を理解し、モデルを構築できる,,,◯
159,2,解析技術,モデル化,回帰・分類,★,重回帰分析において偏回帰係数と標準偏回帰係数、重相関係数、自由度調整済み決定係数について説明できる,,,
160,3,解析技術,モデル化,回帰・分類,★,線形回帰分析とロジスティック回帰分析のそれぞれが予測する対象の違いを理解し、適切に使い分けられる,,,
161,4,解析技術,モデル化,回帰・分類,★★,重回帰分析や判別分析において、各種変数選択手法（ステップワイズ法、ベストサブセット法など）の特徴を理解した上で効果的に適用できる,,,
162,5,解析技術,モデル化,回帰・分類,★★,重回帰分析において多重共線性の評価ができ、適切に変数を統合・加工・削除して予測モデルが構築できる,,,◯
163,6,解析技術,モデル化,回帰・分類,★★,過学習を防止するためにL1正則化（Lasso）、L2正則化（Ridge回帰）、それらを組み合わせたElastic netを適用できる,,,
164,7,解析技術,モデル化,回帰・分類,★★,目的変数が正規分布に従わない場合や、データに階層性がある場合に対応するため、一般化線形モデル（GLM）や一般化線形混合モデル（GLMM）を選択・構築できる,,,
165,8,解析技術,モデル化,回帰・分類,★★,ロジスティック回帰分析において回帰係数とオッズ比の関係について説明できる,,,
166,9,解析技術,モデル化,回帰・分類,★★,ロジスティック回帰分析を行う際に、最小二乗法ではなく最尤法を使う際の利点（回帰誤差が近似的に正規分布しなくても適用できるなど）を説明し、適用できる,,,
167,10,解析技術,モデル化,回帰・分類,★★,生存時間分析において、打ち切りデータを考慮し、Cox回帰（比例ハザードモデル）を用いてイベント発生リスク（ハザード比）を推定するモデルを構築できる,,,
168,11,解析技術,モデル化,回帰・分類,★★,対象の個体差やグループ毎の差が認められるデータに対し、階層ベイズモデルの構築ができる,,,
169,12,解析技術,モデル化,回帰・分類,★★,分析手法やデータの特性に応じて、必要な変数加工（標準化、ダミー変数化、交互作用項の作成）や非線形変換などを設計・実施できる,,,
170,13,解析技術,モデル化,回帰・分類,★★★,対象データの分布を確認し、分布形状に適合した計算式の非線形回帰モデルを構築できる,,,
171,14,解析技術,モデル化,回帰・分類,★★★,予測モデル構築において頑健性（Robustness）を維持するための具体的な方法を設計、実施できる,,,◯
