"NO","SubNo","スキルカテゴリ","サブカテゴリ","スキルレベル","チェック項目","BZ","DE","必須スキル"
32,23,"性質・関係性の把握","性質・関係性の把握","★","適切な軸設定でクロス集計表を作成し、属性間のデータの偏りを把握できる","＊","","◯"
33,24,"性質・関係性の把握","性質・関係性の把握","★","量的変数の散布図を描き、2変数の関係性を把握できる","","","◯"
34,25,"性質・関係性の把握","性質・関係性の把握","★★","多重（質問間）クロス集計表などを駆使して、データから適切なインサイトを得ることができる（データの偏りの発見や独立性の検定など）","＊","",""
35,26,"性質・関係性の把握","性質・関係性の把握","★★","主成分分析と因子分析の違いや使い分けを説明し、実施できる","","",""
36,27,"性質・関係性の把握","性質・関係性の把握","★★","正準相関分析を説明し、実施できる","","",""
37,28,"性質・関係性の把握","性質・関係性の把握","★★","因子分析における、因子負荷量の意味を理解し、因子軸の回転（プロマックス回転、バリマックス回転など）について実施できる","","",""
38,29,"性質・関係性の把握","性質・関係性の把握","★★","コレスポンデンス（対応）分析と数量化III類を説明し、実施できる","","",""
39,30,"性質・関係性の把握","性質・関係性の把握","★★","コンジョイント分析を自ら設計し、効用値と寄与率からモデルを評価できる","","",""
40,31,"性質・関係性の把握","性質・関係性の把握","★★","適切な類似度を設定した上で、多次元尺度構成法を用いてポジショニングマップを描くことができる","＊","",""
41,32,"性質・関係性の把握","性質・関係性の把握","★★","空間的自己相関の手法を用いて空間的な類似性を数値化できる","","",""
42,33,"性質・関係性の把握","性質・関係性の把握","★★","行列分解（非負値行列因子分解[Nonｰnegative Matrix Factorization:NMF]、特異値分解）を、目的に応じてパラメータを最適化して分析できる","","",""
43,34,"性質・関係性の把握","性質・関係性の把握","★★★","テンソル分解（非負値テンソル因子分解[Non-negative Tensor Factorization:NTF]、CP分解[Canonical Polyadic Decomposition:CPD]、Tucker分解など）を、対象データの特性や目的に応じて適用する事で、より複合的な要因の性質や関係性を分析できる","","",""
44,35,"推定・検定","推定・検定","★","点推定と区間推定の違いを説明できる","","",""
45,36,"推定・検定","推定・検定","★","統計的仮説検定において帰無仮説と対立仮説の違いを説明できる","","",""
46,37,"推定・検定","推定・検定","★","第1種の過誤、第2種の過誤、p値、有意水準の意味を説明できる","","",""
47,38,"推定・検定","推定・検定","★","片側検定と両側検定の違いを説明できる","","",""
48,39,"推定・検定","推定・検定","★","検定する対象となるデータの対応の有無を考慮した上で適切な検定手法（t検定, z検定など）を選択し、適用できる","","",""
49,40,"推定・検定","推定・検定","★★","検定力やサンプルサイズ、分布など対象のデータを考慮したうえで適切な検定手法を選択し、結果を評価できる（パラメトリックな多群の検定、クラスカル・ウォリス検定、カイ二乗検定など）","","",""
50,41,"推定・検定","推定・検定","★★","p値だけでは仮説やモデルの正しさを評価できないことを理解し、p値以外のアプローチ（信頼区間、信用区間、ベイズファクターなど）と併せて透明性の高いデータ分析や結果の報告ができる","＊","","◯"
51,42,"パターン発見","パターン発見","★","条件Xと事象Yの関係性を信頼度、支持度、リフト値を用いて評価できる","","",""
52,43,"パターン発見","パターン発見","★★","アプリオリアルゴリズムのアソシエーション分析において、パラメータをチューニングして出力件数を調整できる","","",""
54,46,"性質・関係性の把握","因果推論","★","ある変数が他の変数に与える影響（因果効果）を推定したい場合、その双方に影響を与える共変量（交絡因子）の考慮が重要であると理解している（喫煙の有無と疾病発症の双方に年齢が影響している場合など）","","",""
55,47,"性質・関係性の把握","因果推論","★","分析の対象を定める段階で選択バイアスが生じる可能性があることを理解している（途中離脱者の除外時、欠損データの除外時など）","","","◯"
57,48,"性質・関係性の把握","因果推論","★★","統計的因果推論における因果効果（平均処置効果、Average Treatment Effect; ATEなど）について説明できる","","",""
58,49,"性質・関係性の把握","因果推論","★★","統計的因果推論における、強く無視できる割り当て条件（Conditional Exchangeability）を説明できる","","",""
59,50,"性質・関係性の把握","因果推論","★★","ある変数の影響（因果効果）を推定したいがランダム化比較試験の実施が難しい場合、傾向スコアによる手法（傾向スコアマッチング、IPW、Doubly Robustなど）を用いることで観測されている共変量の影響を最小限に抑えることができる","","",""
61,1,"データの理解・検証","データ確認","★","単独のグラフに対して、集計ミスや記載ミスなどがないかチェックできる","＊","","◯"
62,2,"データの理解・検証","データ確認","★","データ項目やデータの量・質について、指示のもと正しく検証し、結果を説明できる","＊","",""
63,3,"データの理解・検証","データ確認","★★","複数のグラフや集計表で構成されているレポートに対して、全体として集計ミスや不整合が起きていないかチェックできる","＊","","◯"
64,4,"データの理解・検証","データ確認","★★","データ項目やデータの量・質の検証方法を計画・実行し、その結果をもとにその後の分析プロセスを立案・修正できる","＊","",""
65,5,"データの理解・検証","データ確認","★★★","多数のグラフ、集計表、外部の統計情報、高度なデータ解析手法を用いた解析結果などを含むレポートに対して、不整合が起きていないか、妥当性の高い論理構造であるかチェックできる","＊","",""
66,6,"データの理解・検証","データ確認","★★★","分析に必要なデータを想定し、現在取得可能なデータの量・質で分析に耐えうるか、分析目的が達成可能であるかを判断できる","＊","","◯"
67,7,"データの理解・検証","俯瞰・メタ思考","★","データが生み出された背景を考え、鵜呑みにはしないことの重要性を理解している","＊","",""
68,8,"データの理解・検証","俯瞰・メタ思考","★★","データを俯瞰して、変化をすみやかに察知するとともに、変化が誤差の範囲かどうか判断できる","＊","","◯"
69,9,"データの理解・検証","俯瞰・メタ思考","★★★","複数のデータを多元的かつ大局的に俯瞰して、大きな動きや本質的な事実を見抜くことができる","＊","","◯"
70,10,"データの理解・検証","データ理解","★","どのような知見を得たいのか、目的に即して集計し、データから事実を把握できる","＊","","◯"
71,11,"データの理解・検証","データ理解","★","データから事実を正しく浮き彫りにするために、集計の切り口や比較対象の設定が重要であることを理解している","＊","","◯"
72,12,"データの理解・検証","データ理解","★","普段業務で扱っているデータの発生トリガー・タイミング・頻度などを説明でき、また基本統計量や分布の形状を把握している","＊","",""
73,13,"データの理解・検証","データ理解","★","時系列データとは何か、その基礎的な扱いについて説明できる（時系列グラフによる周期性やトレンドの確認、移動平均の計算など）","","",""
74,14,"データの理解・検証","データ理解","★★","生データを眺めて、どのような切り口で集計・比較すればデータの理解や事実の把握につながるか検討できる","＊","","◯"
75,15,"データの理解・検証","データ理解","★★","扱ったことのない新たなデータに内容の不明な項目があっても、生データの閲覧や集計を通して何の項目かあたりをつけられる","＊","",""
76,16,"データの理解・検証","データ理解","★★","扱っているデータの関連業務の知識と分析目的を踏まえて、どんな説明変数が効きそうか、あたりをつけて洗い出し、構造的に整理できる（変数のグループ化や階層化など）","＊","",""
77,17,"データの理解・検証","データ理解","★★★","データの変化から起きている事象の背景を構造的に推察し、仮説を立て、検証方法を企画実行できる","＊","",""
78,18,"データの理解・検証","データ理解","★★★","データを入手する前に、存在するであろうデータとその分布を想定して基礎俯瞰の方向性やその結果の想定ができ、それを前提とした解析方法の検討・ラフ設計をすることができる","＊","",""
79,19,"データの理解・検証","データ理解","★★★","扱ったことのない新たなデータであっても、ER図やテーブル定義、生データなどを見ることによってデータの発生源や欠損値の意味などのあたりをつけられる","＊","＊",""
80,20,"データの理解・検証","データ粒度","★★","分析目的とデータの量・質を踏まえて、想定されるメッセージと統計的観点から適切な集計単位やサンプリング率を決定できる","＊","",""
81,21,"データの理解・検証","データ粒度","★★★","分析目的とデータの量・質に加えて、想定しているメッセージ、深掘りの方向性・可能性、処理負荷、データ処理フローなども総合的に踏まえた最適な集計単位やサンプリング率を決定できる","＊","＊",""
82,1,"サンプリング","サンプリング","★","標本誤差およびサンプリングバイアス、およびそれぞれの違いについて説明できる","","","◯"
83,2,"サンプリング","サンプリング","★","実験計画法の基本的な3原則（局所管理化、反復、無作為化）について説明できる","","",""
84,3,"サンプリング","サンプリング","★★","調査対象の母集団の規模・特性や調査コストに応じて、多段階抽出法や層化抽出法など適切な標本抽出方法を計画できる","","",""
85,4,"サンプリング","サンプリング","★★","属性数と水準数が決まれば適切な直交表を選択し実験計画ができる","","",""
86,5,"サンプリング","サンプリング","★★","調査に求められる信頼水準・誤差率から必要となるサンプル数を試算できる","","",""
87,6,"データ加工","データクレンジング","★","外れ値・異常値・欠損値とは何かを理解し、指示のもと適切に検出と除去・変換などの対応ができる","","＊","◯"
88,7,"データ加工","データクレンジング","★★","各変数の分布・欠損率などをふまえて、外れ値・異常値・欠損値の対応方針を決定できる","","","◯"
89,8,"データ加工","データ加工","★","標準化とは何かを理解し、適切に標準化が行える","","",""
90,9,"データ加工","データ加工","★","名義尺度の変数をダミー変数に変換できる","","",""
91,10,"データ加工","データ加工","★★","加工データに不具合がないか確認方法を設計し、検証できる（合計値の照合や、分布の確認など）","＊","","◯"
92,11,"データ加工","データ加工","★★★","加工データの統計的な俯瞰によって不具合の早期発見ができるとともに、統計的観点で次ステップの解析に耐えうるデータであるか評価できる","","","◯"
93,12,"データ加工","特徴量エンジニアリング","★","数値データの特徴量化（二値化／離散化、対数変換、スケーリング／正規化、交互作用特徴量の作成など）を行うことができる","","＊",""
94,13,"データ加工","特徴量エンジニアリング","★★","カテゴリデータの特徴量化ができる（ダミー変数化、特徴量ハッシング[カテゴリ数が多い場合の値の割り当て]、ビンカウンティング、バックオフ、最小カウントスケッチ[レアなカテゴリのまとめ処理]など）","","＊",""
95,14,"データ加工","特徴量エンジニアリング","★★","k-means、k近傍法、t-SNEなどを用いた、類似度または非類似度に着目した特徴量を作成できる","","",""
96,15,"データ加工","特徴量エンジニアリング","★★","周期的な意味合いをもつ特徴量を適切な周期の三角関数を用いて変換できる","","",""
97,16,"データ加工","特徴量エンジニアリング","★★","時系列データに対し周期性やトレンドなどを考慮して、階差、移動平均、移動標準偏差、移動最大、移動最小、ラグなどの特徴量を作成できる","＊","",""
98,17,"データ加工","特徴量エンジニアリング","★★","複数のデータセットから、結合や集計などを組み合わせ、有効な特徴量を作成できる（ユーザごとの過去1ヵ月間の購買金額合計など）","＊","","◯"
99,18,"データ加工","特徴量エンジニアリング","★★★","ドメイン知識に基づく洞察から有効な特徴量を効率的に作成できる（類似商品との価格差、借入額と返済額の比など）","＊","",""
100,19,"データ加工","特徴量エンジニアリング","★★★","有用と思われるデータを新たに調達し、既知のデータと組み合わせることで有効な特徴量を作成できる（業界特有なカレンダー、地理空間的な類似度を考慮した集計値など）","＊","",""
101,1,"データ可視化","方向性定義","★","データの性質を理解するために、データを可視化し眺めて考えることの重要性を理解している","＊","","◯"
102,2,"データ可視化","方向性定義","★","可視化における目的の広がりについて概略を説明できる（単に現場の作業支援する場合から、ビッグデータ中の要素間の関連性をダイナミックに表示する場合など）","＊","",""
103,3,"データ可視化","方向性定義","★★","特異点を明確にする、データ解析部門以外の方にデータの意味を正しく伝える、現場の作業を支援するといった可視化の役割・方向性を判別できる","＊","",""
104,4,"データ可視化","方向性定義","★★★","データ量が膨大で構造が捉えにくい場合や、アウトプットが想像しにくい場合であっても、可視化の役割・方向性を判断できる（ビッグデータ中の要素間の関連性をダイナミックに表現する、細部に入りきらずに問に対して答えを出すなど）","","",""
105,5,"データ可視化","軸出し","★","散布図などの軸出しにおいて、目的やデータに応じて縦軸・横軸の候補を適切に洗い出せる","＊","","◯"
106,6,"データ可視化","軸出し","★","積み上げ縦棒グラフでの属性の選択など、目的やデータに応じて適切な層化（比較軸）の候補を出せる","＊","","◯"
107,7,"データ可視化","軸出し","★★","抽出したい意味にふさわしい軸・層化の粒度、順番を考慮して軸のきざみや層化方法を選択できる","＊","","◯"
108,8,"データ可視化","軸出し","★★","膨大な属性を持つテーブルから目的に有用な属性を選択できる","＊","",""
109,9,"データ可視化","軸出し","★★★","非構造データから分析の軸になりうる候補を抽出し、付加すべき属性候補を適切に出せる","＊","",""
110,10,"データ可視化","データ加工","★","サンプリングやアンサンブル平均によって適量にデータ量を減らすことができる","＊","",""
111,11,"データ可視化","データ加工","★","読み取りたい特徴を効果的に可視化するために、統計量を使ってデータを加工できる","","",""
112,12,"データ可視化","データ加工","★★","データの持つ分散量の観点で、高次元のデータを主成分分析（PCA）などにより1～3次元のデータに変換できる","","","◯"
113,13,"データ可視化","データ加工","★★★","高次元の非線形な（高次の曲線、渦状の分布などの）データであっても、適切に1～3次元のデータに圧縮して、特徴（データの総分散量および各データの位置関係）を損なわずに可視化できる","","",""
114,14,"データ可視化","データ加工","★★★","ネットワーク構造、グラフ構造などの表現において、ノードとエッジが増えすぎて特徴抽出が困難であっても、データの絞り込みや抽象度を上げることで適切に可視化できる","","＊",""
115,15,"データ可視化","データ加工","★★★","データ量が膨大（ペタバイト以上）なために、処理しきれず描画できない規模のデータに対しても、適度なデータや情報の抽出（間引き）、クラスター分析などにより可視化しうる状態にデータを加工できる","","＊",""
116,16,"データ可視化","データ加工","★★★","大規模なデータへのリアルタイムな可視化が求められる場合であっても、特異点の抽出や次元圧縮を通じてデータを圧縮し、リアルタイム表示できる","","＊",""
117,17,"データ可視化","データ加工","★★★","大規模なデータへのリアルタイムな可視化が求められる場合であっても、データの分割転送、復元を通じて可視化できる","","＊",""
118,18,"データ可視化","表現・実装技法","★","データ解析部門以外の方に、データの意味を伝えるサインとしての可視化ができる","＊","",""
119,19,"データ可視化","表現・実装技法","★","適切な情報濃度を判断できる（データインク比など）","","",""
120,20,"データ可視化","表現・実装技法","★","不必要な誇張をしないための軸表現の基礎を理解できている（コラムチャートのY軸の基準点は「0」からを原則とし軸を切らないなど）","","","◯"
121,21,"データ可視化","表現・実装技法","★","強調表現がもたらす効果と、明らかに不適切な強調表現を理解している（計量データに対しては位置やサイズ表現が色表現よりも効果的など）","","","◯"
122,22,"データ可視化","表現・実装技法","★","1～3次元の比較において目的（比較、構成、分布、変化など）に応じ、BIツール、スプレッドシートなどを用いて図表化できる","","＊","◯"
123,23,"データ可視化","表現・実装技法","★","端的に図表の変化をアニメーションで可視化できる（人口動態のヒストグラムが経年変化する様子を表現するなど）","","",""
124,24,"データ可視化","表現・実装技法","★","1～3次元の図表を拡張した多変量の比較を適切に可視化できる（平行座標、散布図行列、テーブルレンズ、ヒートマップなど）","","",""
125,25,"データ可視化","表現・実装技法","★★","ネットワーク構造、グラフ構造、階層構造などの統計的な関係性の可視化ができる","","＊",""
126,26,"データ可視化","表現・実装技法","★★","地理空間情報などを地図に重ね合わせた可視化ができる（コロプレスマップ、ボロノイ図など）","","",""
127,27,"データ可視化","表現・実装技法","★★","挙動・軌跡の可視化ができる（店舗内でのユーザの回遊やEye tracking、ウェアラブル端末の3軸ジャイロセンサーや心拍数など）","","",""
128,28,"データ可視化","表現・実装技法","★★","適切な情報（意味）を押さえた上で、デザイン性を高めるための要件提示ができる","＊","",""
129,29,"データ可視化","表現・実装技法","★★","ドメイン知識とビジネス背景をふまえ、適切な情報項目を参照し、利用者の使い勝手を考慮した可視化したダッシュボードあるいは可視化ツールを設計できる","＊","＊",""
130,30,"データ可視化","表現・実装技法","★★★","人体、標高を持つ地図、球面など３次元空間上にデータを重ね合わせた可視化ができる","","＊",""
131,31,"データ可視化","表現・実装技法","★★★","地図上で同時に動く数百以上のポイントにおける時間変化を動的に表現できる（多地点での風の動き、飛行物の軌跡など）","","＊",""
132,32,"データ可視化","表現・実装技法","★★★","複雑で総合的な表現が求められる場合に、ユーザインターフェースの設計に加え、内部のアルゴリズム設計やシステム環境への負荷調整なども踏まえた可視化ができる","","＊",""
133,33,"データ可視化","意味抽出","★","外れ値を見出すための適切な表現手法を選択できる","","",""
134,34,"データ可視化","意味抽出","★","データの可視化における基本的な視点を挙げることができる（特異点、相違性、傾向性、関連性を見出すなど）","","","◯"
135,35,"データ可視化","意味抽出","★★","統計値（代表値の指標、バラツキの指標、有意性の指標、関係式）を正しく読み、回帰式や移動平均線に意味付けできる","","","◯"
136,36,"データ可視化","意味抽出","★★★","分類・グルーピングの分析において、分布傾向から原因を追究し、活用方針を計画・主導できる（分類に応じたDM発送による反応率の向上など）","＊","",""
137,37,"データ可視化","意味抽出","★★★","予測の分析において、関連性、特異点、変曲点から原因を追究し、活用方針を計画・主導できる（予測結果に基づく発注管理など）","＊","",""
138,38,"データ可視化","意味抽出","★★★","関係性の分析において関連が高い/低い原因を追究し、活用方針を計画・主導できる（レコメンドなど）","＊","",""
139,1,"予測","回帰・分類","★","単回帰分析において最小二乗法、回帰係数、標準誤差、決定係数を理解し、モデルを構築できる","","","◯"
140,2,"予測","回帰・分類","★","重回帰分析において偏回帰係数と標準偏回帰係数、重相関係数について説明できる","","",""
141,5,"予測","回帰・分類","★","線形回帰分析は量的な変数を予測し、ロジスティック回帰分析は二値の質的な変数を予測する手法であることを説明できる","","",""
142,3,"予測","回帰・分類","★★","重回帰分析や判別分析を実行する際に変数選択手法の特徴を理解し、適用できる","","",""
143,4,"予測","回帰・分類","★★","重回帰分析において多重共線性の評価ができ、適切に変数を統合・加工・削除して予測モデルが構築できる","","","◯"
144,6,"予測","回帰・分類","★★","過学習を防止するためにL1正則化（Lasso）、L2正則化（Ridge）、それらを組み合わせたElastic netを適用できる","","",""
145,7,"予測","回帰・分類","★★","一般化線形モデル (GLM) および一般化線形混合モデル（GLMM）を用いて分布形状に応じたモデルを構築できる","","",""
146,9,"予測","回帰・分類","★★","ロジスティック回帰分析において回帰係数とオッズ比の関係について説明できる","","",""
147,10,"予測","回帰・分類","★★","ロジスティック回帰分析を行う際に、最小二乗法ではなく最尤法を使う際の利点（回帰誤差が近似的に正規分布しなくても適用できるなど）を説明し、適用できる","","",""
148,11,"予測","回帰・分類","★★","Cox回帰（比例ハザードモデル）を用いて対象イベントの発生確率を予測する生存分析モデルを構築できる","","",""
149,12,"予測","回帰・分類","★★","対象の個体差やグループ毎の差が認められるデータに対し、階層ベイズモデルの構築ができる","","",""
150,13,"予測","回帰・分類","★★","予測アルゴリズムに応じ、必要な変数加工処理を設計し、実施できる（標準化やダミー変数化など、採用したアルゴリズムに適した変数加工）","","",""
151,8,"予測","回帰・分類","★★★","対象データの分布をみて、分布形状に適合した計算式の非線形回帰モデルを構築できる","","",""
152,14,"予測","回帰・分類","★★★","予測モデル構築において頑健性（Robustness）を維持するための具体的な方法を設計、実施できる","","","◯"
153,15,"予測","評価","★","ROC曲線、AUC(Area under the curve)、を用いてモデルの精度を評価できる","","",""
154,16,"予測","評価","★","混同行列（正誤分布のクロス表）、Accuracy、Precision、Recall、F値、macro平均、micro平均、重み付き平均といった評価尺度を理解し、精度を評価できる","","",""
155,18,"予測","評価","★","RMSE（Root Mean Square Error）、MAE（Mean Absolute Error）、MAPE（Mean Absolute Percentage Error）、決定係数といった評価尺度を理解し、精度を評価できる","","","◯"
157,19,"予測","評価","★★","不均衡データ（Imbalanced data）に対する分類モデルの評価尺度を、Precision、Recall、F値、PR（Presicion Recall）曲線、マシューズ相関係数などを用いてビジネス課題に合わせて適切に設定できる","＊","",""
158,21,"予測","評価","★★★","MSE、AUC、F値などは評価データ全体に対する平均的評価であることを理解し、必要に応じて予測値・誤差の可視化、データの部分集合に対する評価などを実施できる","","",""
160,20,"予測","評価","★★★","目的（予測・真のモデル推定など）に応じて、適切な損失関数とモデル選択基準（AIC：赤池情報量規準、BIC：ベイズ情報量規準、MDL：最小記述長など）を選択し、モデル評価ができる","","",""
161,23,"学習","機械学習","★","機械学習にあたる解析手法の名称を3つ以上知っており、手法の概要を説明できる","","",""
162,24,"学習","機械学習","★","機械学習のモデルを使用したことがあり、どのような問題を解決できるか理解している（回帰・分類、クラスター分析の用途など）","","",""
163,25,"学習","機械学習","★","「教師あり学習」「教師なし学習」の違いを理解している","","","◯"
164,26,"学習","機械学習","★","過学習とは何か、それがもたらす問題について説明できる","","","◯"
165,27,"学習","機械学習","★","次元の呪いとは何か、その問題について説明できる","","",""
166,28,"学習","機械学習","★","教師あり学習におけるアノテーションの必要性を説明できる","＊","",""
167,29,"学習","機械学習","★","観測されたデータにバイアスが含まれる場合や、学習した予測モデルが少数派のデータをノイズと認識してしまった場合などに、モデルの出力が差別的な振る舞いをしてしまうリスクを理解している","","","◯"
168,30,"学習","機械学習","★","機械学習における大域的(global)な説明（モデル単位の各変数の寄与度など）と局所的(local)な説明（予測するレコード単位の各変数の寄与度など）の違いを理解している","","",""
169,31,"学習","機械学習","★","ホールドアウト法、交差検証（クロスバリデーション）法の仕組みを理解し、学習データ、パラメータチューニング用の検証データ、テストデータを作成できる","","",""
170,32,"学習","機械学習","★","時系列データの場合は、時間軸で学習データとテストデータに分割する理由を理解している","","",""
171,33,"学習","機械学習","★","機械学習モデルは、データ構成の変化(データドリフト)により学習完了後から精度が劣化していくため、運用時は精度をモニタリングする必要があることを理解している","","",""
172,42,"学習","機械学習","★","ニューラルネットワークの基本的な考え方を理解し、出力される「ダイアグラム」の入力層、隠れ層、出力層の概要と、活性化関数の重要性を理解している","","","◯"
173,43,"学習","機械学習","★","決定木をベースとしたアンサンブル学習（Random Forest、勾配ブースティング[Gradient Boosting Decision Tree：GBDT]、 その派生形であるXGBoost、LightGBMなど）による分析を、ライブラリを使って実行でき、その結果を正しく解釈できる","","",""
176,34,"学習","機械学習","★★","学習データ、検証データ、テストデータの分割時にデータの性質や目的に応じて、地理空間情報や様々な属性を考慮すべきか判断できる","＊","",""
177,35,"学習","機械学習","★★","予測モデルにおけるリークとは何か、それがもたらす問題について説明できる","","",""
178,38,"学習","機械学習","★★","次元の呪いの影響を受けやすいアルゴリズムを識別し対処するアプローチを知っている（特徴量選択、次元圧縮、L1/L2正則化など）","","",""
179,39,"学習","機械学習","★★","アノテーションにおいて、判断基準の明確化やアノテーターの精度管理を適切に実施することにより、高品質な教師付きデータを効率的に作成できる","＊","",""
180,40,"学習","機械学習","★★","教師あり学習と強化学習の違いを、前提、定義、応用先といった観点で説明できる","","",""
181,41,"学習","機械学習","★★","決定木分析においてCHAID、C5.0、CARTなどのデータ分割のアルゴリズムの特徴を理解し、適切な方式を選定できる","","",""
182,44,"学習","機械学習","★★","データに変更を加え予測モデルを故意に誤らせる敵対的サンプル（Adversarial examples）について、代表的な攻撃方法を理解している","","",""
183,46,"学習","機械学習","★★","生成モデルと識別モデルの違いやそれぞれのメリットを理解しており、目的に応じて適切に使い分けられる","","",""
184,47,"学習","機械学習","★★","不均衡データ（Imbalanced data）がモデルに与える影響を理解し、サンプリングや評価/損失関数のチューニングなどを適切に対処できる","","",""
185,48,"学習","機械学習","★★","バイアスとバリアンスの関係について、未学習や過学習の観点から説明できる","","",""
186,49,"学習","機械学習","★★","機械学習・AIの公平性の評価指標について説明できる（デモグラフィックパリティ、均等オッズなど）","＊","",""
187,50,"学習","機械学習","★★","LIME、SHAPなどを用いて、ブラックボックス性の高いモデルの局所的な説明（レコード単位の予測根拠の提示）ができる","","",""
188,54,"学習","機械学習","★★","課題やデータに応じて、汎化性能向上のためのデータ拡張（Data Augmentation）を設計・実装できる（画像データの回転・反転、テキストデータの単語入れ替え・置換・削除など）","","",""
192,37,"学習","機械学習","★★★","データと分析要件から、データ分布やモデル精度のモニタリング設計・実施と、劣化が見込まれるモデルに対するリモデルの設計ができる","","＊",""
193,36,"学習","機械学習","★★★","リークの発生の有無を適切に判断し、対応できる（マスタデータが更新されており、本来予測時に使用できない未来の情報を含んでしまうパターン、本来は未知である評価データも含めて標準化するパターンなど）","＊","",""
194,45,"学習","機械学習","★★★","最新の研究に基づき敵対的サンプル（Adversarial examples）に対する現実的な対策を検討できる","","",""
195,51,"学習","機械学習","★★★","分析要件に応じ、モデリング手法（線形モデル、決定木、サポートベクターマシン、ニューラルネットワーク、アンサンブル学習など）の選択とパラメータ設定、結果の評価、チューニングを適切に設計・実施・指示できる","","","◯"
196,52,"学習","機械学習","★★★","複数の機械学習モデルを組み合わせるアンサンブル学習において、各モデルの予測スコアを用いた平均（Averaging）、多数決（Voting）、Stackingなどの手法を理解し、目的に応じて設計・実装できる","","＊",""
197,53,"学習","機械学習","★★★","半教師あり学習やアクティブラーニングにより効率的なアノテーションができる","＊","",""
