"NO","SubNo","スキルカテゴリ","スキルレベル","サブカテゴリ","チェック項目","BZ","DS","必須スキル"
24,24,"環境構築","★★★","アーキテクチャ設計","データ活用戦略を正しく理解し、各種業務プロセスについての専門知識とシステムに関する知識を有し、双方を活用して、適切な要求定義が行える","＊","","◯"
25,25,"環境構築","★★★","アーキテクチャ設計","費用対効果が高いPaaS型サービスと設計自由度の高いIaaS環境のメリット、デメリットを理解し、PaaSとIaaSを組み合わせた効率的な分析システムを設計できる","","",""
26,26,"環境構築","★★★","アーキテクチャ設計","Amazon Web Services（AWS)、Microsoft Azure、Google Cloud Platform（GCP)、IBM Cloudなど複数社のクラウドサービスを組み合わせたマルチクラウド構成を設計し、各社が提供する固有の分析サービスの結果を連携できる","","",""
27,27,"環境構築","★★★","アーキテクチャ設計","Dockerコンテナ技術を用いてデータの蓄積環境・分析環境を構築し、再利用できる形でイメージを管理できる","","",""
28,28,"環境構築","★★★","新規技術","量子コンピュータにおける量子ビットと量子計算の特性を理解し、これまでと異なるエンジニアリング手法で、適切な量子アルゴリズムの設計・開発・テストを推進できる","","",""
29,1,"データ収集","★","クライアント技術","対象プラットフォームが提供する機能（SDKやAPIなど）の概要を説明できる","","",""
30,2,"データ収集","★","クライアント技術","Webクローラー・スクレイピングツールを用いてWebサイト上の静的コンテンツを分析用データとして収集できる","","",""
31,3,"データ収集","★★","クライアント技術","対象プラットフォーム（iOS、Android、HEMSなど）で取得可能なデータ項目から目的に応じてデータ収集システムを設計できる","","",""
32,4,"データ収集","★★","クライアント技術","対象プラットフォームにおけるバッテリー消費や通信速度などを含めたシステム要件を作成できる","","",""
33,4,"データ収集","★★","クライアント技術","エッジコンピューティング構成においてエッジデバイス側（端末側）で収集したログを、適切なタイミングでサーバ側に転送・集約するデータ収集の仕組みを設計できる","＊","",""
34,5,"データ収集","★★★","クライアント技術","収集するデータが増えることを想定し、拡張性を考慮したエッジデバイスのロガー機能（or データロガー）を設計できる","＊","",""
35,6,"データ収集","★","通信技術","対象プラットフォームに用意された機能（HTTP、FTP、SSHなど）を用い、データを収集先に格納するための機能を実装できる","","","◯"
36,7,"データ収集","★★","通信技術","データ収集対象の要件に応じて、MQTT（Message Queue Telemetry Transport）によるパブリッシュ/サブスクライブ型の通信を検討・実装できる","","",""
37,8,"データ収集","★★","通信技術","ネットワークプロトコルや暗号化などの通信技術を用い、通信のボトルネックと可用性（継続的に通信が成立していること）を考慮した上で、必要な通信機能を実装できる","","",""
38,9,"データ収集","★★★","通信技術","データ通信において、機能・性能の問題に対し根本原因を特定できるだけでなく、必要に応じて新規技術の適用を検討できる","","",""
39,10,"データ収集","★★","データ収集","既存のサービスやアプリケーションに対して、有効な分析をするためのログ出力の追加仕様を整理することができる","＊","＊",""
40,11,"データ収集","★★★","データ収集","入手可能なデータに加え、分析結果の品質・効果を向上させる新たなデータ入手方法を提案できる（IoTでの新設センサーの種類、配置場所、データ入手間隔など）","＊","＊","◯"
41,12,"データ収集","★★","データ収集","Fluentdなどのログ収集ツールを用いて形式の異なる複数サーバのログを収集し分析可能な形式に変換して蓄積することができる","","",""
42,13,"データ収集","★★","データ統合","同種のデータを統合するシステムを設計できる","","","◯"
43,14,"データ収集","★★★","データ統合","組織統合などにより異なるコード定義やフォーマットが混在する複数システムのデータを統合し利活用するシステムを設計できる","＊","",""
44,15,"データ収集","★★★","データ統合","システム分析・業務分析をもとに、必要なデータフロー管理やジョブ管理などのツールを選定・評価できる","","","◯"
45,16,"データ収集","★★","データ収集","ユーザーの同意情報や非同意情報を踏まえ、データ抽出や消去ができる","","",""
46,17,"データ収集","★★★","データ収集","GDPRや個人情報保護法、企業のプライバシーポリシーを理解し、Webログやユーザ情報の適切なデータ取得設計ができ、収集できる","＊","",""
47,1,"データ構造","★","基礎知識","扱うデータが、構造化データ（顧客データ、商品データ、在庫データなど）か非構造化データ（雑多なテキスト、音声、画像、動画など）なのかを判断できる","","","◯"
48,2,"データ構造","★","基礎知識","ER図を読んでテーブル間のリレーションシップを理解できる","","","◯"
49,3,"データ構造","★★","要件定義","業務で使用するシステムのデータのライフサイクル（いつ、どんなデータが発生し、いつまで保持されているのかなど）を把握して、論理モデルを作成できる","＊","","◯"
50,4,"データ構造","★★","要件定義","データ保持ルール（データアクセス、性能、保持期間、セキュリティなど）に基づき、データベース・DWHの運用ルールを定義できる","","",""
51,5,"データ構造","★","テーブル定義","正規化手法（第一正規化～第三正規化）を用いてテーブルを正規化できる","","",""
52,6,"データ構造","★★","テーブル定義","ビジネスプロセスを理解・整理して、データフロー図、論理データモデル、ER図、テーブル定義書を作成できる","＊","","◯"
53,7,"データ構造","★★","テーブル定義","業務特性や基幹システムの特徴をもとに、検索で頻繁に使用するデータのキー（顧客IDなど）を想定し、インデックスを作成・設定できる","＊","",""
54,8,"データ構造","★★","テーブル定義","データ集計を高速化またはSQLを単純化するため、スタースキーマ、スノーフレークスキーマなどを用いたデータモデルを設計できる","","",""
55,9,"データ構造","★★","テーブル設計","稼働中の複数のシステム間で発生するデータ項目の差異を、変換テーブルを活用して、埋めることができる","","",""
56,10,"データ構造","★★","テーブル設計","DWHに入れる元データ（基幹DBのデータなど）のキーに変更があった場合に、サロゲートキーやナビゲーションブリッジテーブルを用いて対応できる","","",""
57,11,"データ構造","★★★","テーブル設計","非正規化テーブルや一時テーブルなどを作成し、アプリケーションの処理速度を高速化できる","","",""
58,1,"データ蓄積","★","DWH","DWHアプライアンス（Oracle Exadata、IBM Integrated Analytics System、Teradataなど）に接続し、複数テーブルを結合したデータを抽出できる","","",""
59,2,"データ蓄積","★★","DWH","DWHアプライアンス（Oracle Exadata、IBM Integrated Analytics System、Teradataなど）の機能と特徴を理解し、適切な管理対象データを選定できる","","",""
60,3,"データ蓄積","★","分散技術","Hadoop・Sparkの分散技術の基本的な仕組みと構成を理解している","","",""
61,4,"データ蓄積","★","分散技術","NoSQLデータストア（HBase、Cassandra、Mongo DB、CouchDB、Redis、Amazon DynamoDB、Cloudant、Azure Cosmos DBなど）にAPIを介してアクセスし、新規データを登録できる","","",""
62,5,"データ蓄積","★★","分散技術","分散処理環境のディストリビューションを導入できる（Hortonworks、CDHなど）","","",""
63,6,"データ蓄積","★★","分散技術","Hadoopの得意な点、苦手な点を理解し、Hadoopにて管理すべきデータを選定できる","","",""
64,7,"データ蓄積","★★","分散技術","KVSの特性（集計・ソートが苦手、データの一貫性保証など）を理解し、KVSがデータストア要件を満たすかを判断できる","","",""
65,8,"データ蓄積","★★★","分散技術","分散クラスタ構成が構築可能なRDBMS製品（Oracle RAC、IBM Db2 pureScaleなど）を用いてスケールアウト可能なオンプレミス構成を設計できる","","",""
66,9,"データ蓄積","★★★","分散技術","Hadoop・Sparkの分散アーキテクチャを理解し、大容量データ処理のパフォーマンスチューニングができる","","",""
67,10,"データ蓄積","★","クラウド","クラウド上のストレージサービス（Amazon S3、Google Cloud Storage、IBM Cloud Object Storageなど）に接続しデータを格納できる","","",""
68,11,"データ蓄積","★★","クラウド","クラウド上のDWHサービス（Amazon Redshift、Google BigQuery、IBM Db2 Warehouseなど）にデータをロードし公開できる","","",""
69,12,"データ蓄積","★★★","クラウド","クラウド上のデータストアサービスが機能面・非機能面で対象業務に合致するかの評価を行い、採用可否を判断できる","","",""
70,13,"データ蓄積","★★★","キャッシュ技術","基盤設計において、どこのシステム要素にCache Serviceやmemcachedなどのキャッシュ機能を採用すると処理が高速化されるか判断できる","","",""
71,14,"データ蓄積","★★★","リアルタイムデータ分析","リアルタイムに入力されるストリームデータから指定条件のイベントを即時に抽出する複合イベント処理（CEP）を実現するサーバー環境・構成を設計できる","","",""
72,15,"データ蓄積","★★★","リアルタイムデータ分析","Apache Kafka / Apache Stormなどのストリーム処理プラットフォームを活用して、入力データをリアルタイムに処理して連携できる","","",""
73,16,"データ蓄積","★★★","グリッドコンピューティング","分散処理のフレームワーク（Spark、Tezなど）を用いてアプリケーションの計算処理を複数サーバーに分散させる並列処理システムを設計できる","","",""
74,17,"データ蓄積","★★★","データ蓄積技術","データストア選定の際にリレーショナルDBだけでなく、要件に応じてNoSQL、グラフDB・時系列DBなどの適切なデータ蓄積機能を選定できる","","",""
75,18,"データ蓄積","★★★","検索技術","Apache Solr、Elasticsearchなどの全文検索エンジンを用いて、テキストキーワードやログの検索用DBを構築することができる","","",""
76,1,"データ加工","★","フィルタリング処理","数十万レコードのデータに対して、条件を指定してフィルタリングできる（特定値に合致する・もしくは合致しないデータの抽出、特定範囲のデータの抽出、部分文字列の抽出など）","","","◯"
77,2,"データ加工","★","フィルタリング処理","正規表現を活用して条件に合致するデータを抽出できる（メールアドレスの書式を満たしているか判定をするなど）","","",""
78,3,"データ加工","★","ソート処理","数十万レコードのデータに対して、レコード間で特定カラムでのソートができ、数千レコードのデータに対して、カラム間でソートできる","","","◯"
79,4,"データ加工","★","結合処理","数十万レコードのデータに対して、単一条件による内部結合、外部結合、自己結合ができ、UNION処理ができる","","","◯"
80,5,"データ加工","★","クレンジング処理","数十万レコードのデータに対して、NULL値や想定外・範囲外のデータを持つレコードを取り除く、または既定値に変換できる","","","◯"
81,6,"データ加工","★★","クレンジング処理","フラットファイルやバイナリファイルに対するデータロードの前処理（クレンジング操作、禁則処理やバイナリ処理）ができる","","",""
82,7,"データ加工","★★","クレンジング処理","線形補間など、複数のレコードを考慮したクレンジング処理ができる","","",""
83,8,"データ加工","★","マッピング処理","数十万レコードのデータに対して、規定されたリストと照合して変換する、都道府県名からジオコードに変換するなど、ある値を規定の別の値で表現できる","","","◯"
84,9,"データ加工","★★★","マッピング処理","データ定義や実際の観測データの状況をもとに、名寄せ処理を設計・実装できる","","",""
85,10,"データ加工","★","サンプリング処理","数十万レコードのデータに対して、ランダムまたは一定間隔にデータを抽出できる","","","◯"
86,11,"データ加工","★","集計処理","数十万レコードのデータを集計して、合計や最大値、最小値、レコード数を算出できる","","","◯"
87,12,"データ加工","★","変換・演算処理","数十万レコードのデータに対する四則演算ができ、数値データを日時データに変換するなど別のデータ型に変換できる","","","◯"
88,13,"データ加工","★★","変換・演算処理","数千万レコードのカラムナ型データベースに対して効率的な処理を行うために、Parquetなどのカラムナファイル形式でデータを作成することができる","","",""
89,14,"データ加工","★★★","変換・演算処理","手書き文字や画像などの非構造データを、OCRや画像認識ライブラリ、CNN画像判定モデルなどを用いて分析可能な構造化データに変換できる","","＊",""
90,1,"データ共有","★","データ出力","加工・分析処理結果をCSV、XML、JSON、Excelなどの指定フォーマット形式に変換してエクスポートできる","","","◯"
91,2,"データ共有","★","データ出力","加工・分析処理結果を、接続先DBのテーブル仕様に合わせてレコード挿入できる","","","◯"
92,3,"データ共有","★","データ展開","データ取得用のWeb API（REST）やWebサービス（SOAP）などを用いて、必要なデータを取得できる","","",""
93,4,"データ共有","★★","データ展開","利用者の要件に合致したレポート（図、表）を、PDFやPostScriptなどの印刷用フォーマットで出力する変換機能を設計できる","","",""
94,5,"データ共有","★★","データ展開","BIツール用のサーバーを構築し、単一データソースのレポート用DBを設計・構築できる","","",""
95,6,"データ共有","★★","データ展開","データストア上のデータをメールやメッセージ（Webサービスなど）を用いてプッシュ配信するシステムのサーバー・ネットワーク・ソフトウェアの構成を設計できる","","",""
96,7,"データ共有","★★","データ展開","Webアプリケーションの実装において、WebSocketを用いてクライアント側にリアルタイムにデータ提供できる機能を設計できる","","",""
97,8,"データ共有","★★","データ展開","RSS、RDFや業界標準フォーマットなど要件に合致したデータ形式・配信形式で、情報提供するシステムのインターフェースを設計できる","","",""
98,9,"データ共有","★★","データ展開","Web API（REST）やWebサービス（SOAP）などを用いて、必要なデータを提供するシステムの公開インターフェースを設計できる","","",""
99,10,"データ共有","★","データ連携","FTPサーバー、ファイル共有サーバーなどから必要なデータファイルをダウンロードして、Excelなどの表計算ソフトに取り込み活用できる","","","◯"
100,11,"データ共有","★","データ連携","BIツールのレポート編集機能を用いて新規レポートを公開できる","＊","＊",""
101,12,"データ共有","★","データ連携","BIツールの自由検索機能を活用し、必要なデータを抽出して、グラフを作成できる","","",""
102,13,"データ共有","★★","データ連携","連携対象システムの仕様に合わせて、ETLツールを用いたデータ変換、ファイル転送処理を実装できる","","",""
103,14,"データ共有","★★★","データ連携","他データや他システム連携を容易にする目的で、適切なオープンデータ系の標準フォーマット（IMI：Infrastructure for Multilayer Interoperability[情報共有基盤]に記載のデータモデルや、GTFS：General Transit Feed Specificationなど）を用いて、データモデルを設定できる","","",""
104,15,"データ共有","★★★","データ連携","ESB・EAIなどのデータ連携基盤を活用してシステム間のデータ連携（データ配信・交換）を行うインターフェースを設計できる","","",""
105,1,"プログラミング","★","基礎プログラミング","小規模な構造化データ（CSV、RDBなど）を扱うデータ処理（抽出・加工・分析など）を、設計書に基づき、プログラム実装できる","","","◯"
106,2,"プログラミング","★","データインタフェース","JSON、XMLなど標準的なフォーマットのデータを受け渡すために、APIを使用したプログラムを設計・実装できる","","",""
107,3,"プログラミング","★★","アルゴリズム","非効率なループ処理の性能向上などのために、計算量やメモリを意識したプログラム実装ができる","","",""
108,4,"プログラミング","★★★","アルゴリズム","最新の論文に発表された数式処理や機械学習ロジックをプログラム実装できる","","＊",""
109,5,"プログラミング","★★","拡張プログラミング","プログラム言語や環境によって、変数のデータ型ごとに確保するメモリサイズや自動型変換の仕様が異なることを理解し、プログラムの設計・実装ができる","","",""
110,6,"プログラミング","★★","拡張プログラミング","異なるタイプの複数の処理を効率よく行うために、スクリプトを用いたプログラムを設計・実装できる（パイプライン処理のluigiなど）","","",""
111,7,"プログラミング","★★","拡張プログラミング","GPU（GPGPU）を有効に活用できる環境とライブラリを選択し適用できる","","",""
112,8,"プログラミング","★★","拡張プログラミング","TensorFlow、Chainer、PyTorch、Caffeなどのフレームワークを用いてニューラルネットワークを設計、実装できる","","＊",""
113,9,"プログラミング","★★★","拡張プログラミング","CUDAやOpenCLを活用してGPU上で稼働する並列プログラミングを実装できる","","＊",""
114,10,"プログラミング","★★★","拡張プログラミング","HEMSや家電IoTデバイスにおけるデータ取得の業界標準を理解しており、今後の技術動向や規制についてのリスクを提示できる","","",""
115,11,"プログラミング","★★","拡張プログラミング","SNSから抽出した非構造化データを、適切な言語やライブラリを選んでプログラム実装できる","","＊",""
116,12,"プログラミング","★★★","データ規模","単一サーバーの物理メモリを超える複数のデータソースを組み合わせたデータ処理において、分散処理アーキテクチャやデータのインメモリ処理の特性を意識してプログラム設計ができる","","",""
117,13,"プログラミング","★","分析プログラム","Jupyter NotebookやRStudioなどの対話型の開発環境を用いて、データの分析やレポートの作成ができる","","＊",""
118,14,"プログラミング","★★","分析プログラム","分析プログラムのロジックと処理手順を理解した上で正しい分析結果を出力しているか検証ができる","","＊","◯"
119,15,"プログラミング","★★","分析プログラム","比較的シンプルな分析課題において、クラウド、SaaS分析環境を用いてデータインポートから加工、集計、アウトプットまでの一連の実装ができる（GCP、AWS、Azure、IBMCloudなど）","","",""
120,16,"プログラミング","★★★","リアルタイム処理","ストリーミング処理や複合イベント処理（CEP）などを設計し、適切な言語やライブラリを選んでプログラム実装できる","","",""
121,17,"プログラミング","★","SQL","SQLの構文を一通り知っていて、記述・実行できる（DML・DDLの理解、各種JOINの使い分け、集計関数とGROUP BY、CASE文を使用した縦横変換、副問合せやEXISTSの活用など）","","",""
122,18,"プログラミング","★★","SQL","RDBにおける分析関数の構文と挙動を理解し、分析関数を用いて複雑な副問合せや自己結合を解消できる","","",""
123,19,"プログラミング","★★","SQL","N：Nの結合や完全外部結合の危険性（計算量の増大、結果の不完全性）、暗黙の型変換の危険性（インデックス不使用、小数点以下の切り捨てなど）を考慮したSQLを記述できる","","",""
124,20,"プログラミング","★★★","SQL","記述したSQLの実行計画の確認と判断ができ、SQLの修正やインデックス作成により、処理時間を大幅に改善するようなパフォーマンスチューニングができる","","",""
125,21,"プログラミング","★★","Pig/HiveQL/Spark SQL","HiveQLやSpark SQLを記述して、パーティションが切られているデータを適切に処理できる","","",""
126,22,"プログラミング","★★","Pig/HiveQL/Spark SQL","Pigを記述して列数・内容の異なる行が混在しているデータセットやネスト構造を持つデータセットを処理できる","","",""
127,23,"プログラミング","★★","Pig/HiveQL/Spark SQL","HiveQL、Spark SQL、またはPigで使用するためのUDFが実装できる","","",""
128,24,"プログラミング","★★","分散処理","Scala言語を用いて、分散処理環境（Sparkなど）におけるロジックを設計・実装できる","","",""
129,1,"ITセキュリティ","★","基礎知識","セキュリティの3要素（機密性、可用性、完全性） について具体的な事例を用いて説明できる","","","◯"
130,2,"ITセキュリティ","★★","プライバシー","ハッシュ化、マスキング、k-匿名化、差分プライバシーなどのプライバシー保護の方法を理解し設計できる","","＊","◯"
131,3,"ITセキュリティ","★","攻撃と防御手法","マルウェアなどによる深刻なリスクの種類（消失・漏洩・サービスの停止など）を常に意識している","＊","＊","◯"
132,4,"ITセキュリティ","★","攻撃と防御手法","OS、ネットワーク、アプリケーション、データに対するユーザーごとのアクセスレベルを手順に従い設定できる","","",""
133,5,"ITセキュリティ","★★","攻撃と防御手法","DoS攻撃、不正アクセス、マルウェア感染や内部不正などのセキュリティインシデントが発覚した場合に既存のルールに基づき対応できる","","",""
134,6,"ITセキュリティ","★★","攻撃と防御手法","OS、ネットワーク、アプリケーション、データに対するユーザーごとのアクセスレベルを設計できる","","",""
135,7,"ITセキュリティ","★★","攻撃と防御手法","SQLインジェクションやバッファオーバーフロー攻撃の概要を理解し、防止する対策を判断できる","","",""
136,8,"ITセキュリティ","★★★","攻撃と防御手法","なりすまし、改ざん、盗聴などのセキュリティ侵害を防御するための対策を特定できる","","",""
137,9,"ITセキュリティ","★★★","攻撃と防御手法","侵入検知システム（IDS）やファイアウォールなどを用いて、外部からの不正アクセスを検知、防御する環境を設計できる","","",""
138,10,"ITセキュリティ","★★★","攻撃と防御手法","個別の案件ごとに、依頼元との契約や依頼元がデータをどのように保持し利用するかに応じて、適切な匿名化の手法を選択し適用できる","＊","＊",""
139,11,"ITセキュリティ","★","暗号化技術","暗号化されていないデータは、不正取得された際に容易に不正利用される恐れがあることを理解し、データの機密度合いに応じてソフトウェアを使用した暗号化と復号ができる","","","◯"
140,12,"ITセキュリティ","★","暗号化技術","なりすましや偽造された文書でないことを証明するために電子署名と公開鍵認証基盤（PKI：public key infrastructure）が必要であることを理解している","","",""
141,13,"ITセキュリティ","★","暗号化技術","ハッシュ関数を用いて、データの改ざんを検出できる","","",""
142,14,"ITセキュリティ","★★","暗号化技術","SSHやSSL/TLSなどのセキュアプロトコルの概要と必要性を説明できる","","",""
143,15,"ITセキュリティ","★★","暗号化技術","DES、AES、RC4を用いたKerberos認証が使われる事例と仕組みを説明できる","","",""
144,16,"ITセキュリティ","★★★","ブロックチェーン","ブロックチェーン技術を用いてストレージに蓄積されたデータの安全性と品質保証を保証するシステムを設計できる","","",""
