"NO","SubNo","スキルカテゴリ","サブカテゴリ","スキルレベル","チェック項目","DS","DE","必須スキル","AI活用","AI活用タイプ"
46,4,"着想・デザイン","AI活用検討","★★","用途・目的に応じ、生成AI（LLMやDiffusionモデルなど）の選択、開発と運用時両面の計算リソース、著作権侵害リスクや商用利用可否などを総合的に判断し、活用の検討ができる","","＊","","〇","⑤企画"
47,5,"着想・デザイン","AI活用検討","★★★","生成AIなど新しい技術の事業導入において、得られる事業価値、技術の不確実性リスク（特許権・著作権、セキュリティなど）と、必要コスト、場合よっては環境負荷への配慮など様々な観点から導入可否について適切な判断ができる","","＊","","〇","⑦技術課題対応"
48,6,"着想・デザイン","AI活用検討","★★★","過去に何度か起こった技術的ブレイクスルーとその後の世界の変化のあり方を理解した上で（深層学習や深層強化学習、GAN）、今起こっているブレイクスルー（拡散モデルや大規模言語モデル等）の影響や起こすべき行動の見立てを立てられる","＊","＊","","〇","⑥技術的理解"
49,1,"着想・デザイン","開示・非開示の決定","★★","自分の担当事業のデータについて、社外への開示可否や有償・無償の検討するために、他社にはないユニークな特徴や市場価値をリサーチできる","","","","",""
50,2,"着想・デザイン","開示・非開示の決定","★★★","他社による模倣を防ぎ、競争力を保つ観点で、自社と市場の双方にメリットある開示方法を選択できる（自社にクローズした利用、製品に組み込んだ販売、APIとしての提供など）","＊","＊","","",""
51,1,"課題の定義","KPI","★","担当する分析プロジェクトにおいて、当該事業の収益モデルと主要な変数を理解している","","","","",""
52,2,"課題の定義","KPI","★★","自らが関連する事業領域であれば、複数の課題レイヤーにまたがっていても、主要な変数を整理・構造化できる","","","","",""
53,3,"課題の定義","KPI","★★★","初見の事業領域であっても、主要な変数を構造化し、特に鍵となる変数（KPI）を見極められる","","","","",""
54,1,"課題の定義","スコーピング","★","担当する事業領域について、市場規模、主要なプレーヤー、支配的なビジネスモデル、課題と機会について説明できる","","","","",""
55,2,"課題の定義","スコーピング","★","主に担当する事業領域であれば、取り扱う課題領域に対して基本的な課題の枠組みが理解できる（調達活動の5フォースでの整理、CRM課題のRFMでの整理など）","","","〇","",""
56,3,"課題の定義","スコーピング","★","既知の事業領域の分析プロジェクトにおいて、分析のスコープが理解できる","","","〇","",""
57,4,"課題の定義","スコーピング","★★","事業モデルやバリューチェーンなどの特徴や事業領域の主たる課題を自力で構造的に理解でき、問題の大枠を整理できる","","","","",""
58,5,"課題の定義","スコーピング","★★★","事業領域の主要課題を他領域の課題との連関も含めて構造的に理解でき、問題の大枠を定義できる","","","","",""
59,6,"課題の定義","スコーピング","★★★","論理的な整理にとらわれず、批判的・複合的な視点で課題を識別できる","","","","",""
60,7,"課題の定義","スコーピング","★★★","仮説や可視化された問題がなくとも、解くべき課題を構造的に整理でき、見極めるべき論点を特定できる","","","〇","",""
61,1,"課題の定義","価値の見積り","★★★","プロジェクト開始時点で、入手可能なデータ、分析手法、インフラ、ツールの生み出すビジネス価値を見積ることができる","＊","＊","","",""
62,1,"アプローチ設計","データ入手","★","仮説や既知の問題が与えられた中で、必要なデータにあたりをつけ、アクセスを確保できる","＊","＊","〇","",""
63,2,"アプローチ設計","データ入手","★★","自身が担当するプロジェクトやサービスを超えて、必要なデータのあたりをつけ、アクセスを確保できる","＊","＊","","",""
64,3,"アプローチ設計","データ入手","★★★","組織全体及び関連する社外のデータを見渡して、必要なデータのあたりをつけ、アクセスを確保できる","＊","＊","","",""
65,1,"アプローチ設計","AI-ready","★★","検討目的に応じてこれまでデータ化されたことのないものを適切にデータ化するためのデータ取得とデータ構造の設計を行うことができる","＊","＊","","",""
66,2,"アプローチ設計","AI-ready","★★★","ドメイン特有のデータ構造と意味合いを理解した上で、データ発生からデータ利活用までの流れを俯瞰し、適切にノイズ、データの汚れの発生を抑制することができる","＊","＊","","",""
67,3,"アプローチ設計","AI-ready","★★★","業界、業務で求められるビジネス目的やモデル精度に応じて、必要なデータの品質、取得経路や範囲、契約条件などを勘案し、データの入手経路の確保と加工・運用設計ができる","＊","＊","","",""
68,1,"アプローチ設計","アプローチ設計","★★","分析の目的を検証すべき項目に分解し、アウトプットとなる比較結果やモデル作成の結果のイメージを描くことができる","＊","","〇","",""
69,2,"アプローチ設計","アプローチ設計","★★","分析の目的に対して、プロジェクトの目標と評価方法を具体化し、定量的な成功基準を設定するとともに、成功基準の判定時期・判定者を決定できる","","","","",""
70,3,"アプローチ設計","アプローチ設計","★★","仮説検証思考で、論点ごとに検証すべき項目を識別できる","","","〇","",""
71,4,"アプローチ設計","アプローチ設計","★★","最終的な結論に関わる部分や、ストーリーラインの骨格に大きな影響を持つ部分から着手するなど、検証すべき項目の優先度を判断できる","＊","","","",""
72,5,"アプローチ設計","アプローチ設計","★★","テキスト・画像・音声などを適切に複合的に組み合わせ、マルチモーダルを活用した価値をデザインできる","＊","＊","","〇","⑤企画"
73,6,"アプローチ設計","アプローチ設計","★★","データの機密度を考慮した上で、内外のAIサービスに対する活用可否を判断し、入出力データの配置先（クラウドストレージへの配置可否や、社内オンプレ環境におけるセキュリティレベルなど）を設計できる","","＊","","〇","⑤企画"
74,7,"アプローチ設計","アプローチ設計","★★★","「データサイエンスを駆使して解くべき課題」か否かを判断できる","＊","＊","〇","",""
75,8,"アプローチ設計","アプローチ設計","★★★","自社ビジネスに関連する新たな学習済みモデルやAIサービスのリリースを常に把握し、その特徴やコスト、導入負荷、リスクなどを理解した上で現行業務や利用中のシステムに対する影響や導入可否を検討できる","＊","＊","","〇","⑤企画"
76,9,"アプローチ設計","アプローチ設計","★★★","AI技術に関する大局的な理解をもとに、必要に応じて専門家に相談し、ビジネスで生じる様々なAI活用のアイデアについて、その実現可否や難易度を判断できる（生成モデルによるContent moderationの実施など）","＊","＊","","〇","⑥技術的理解"
77,10,"アプローチ設計","アプローチ設計","★★★","基盤モデルが学習に利用しているデータやその学習方法、汎化性能に起因する利用上の倫理問題（バイアスや誤情報、データ作成者の権利保護・クロール対策、個人・機密情報の取り扱いなど）を予測・調査し、対策を検討できる","＊","","","〇","⑦技術課題対応"
78,1,"アプローチ設計","分析アプローチ設計","★","スコープ、検討範囲・内容が明確に設定されていれば、必要な分析プロセスが理解できる（データ、分析手法、可視化の方法など）","＊","","","",""
79,2,"アプローチ設計","分析アプローチ設計","★★","解くべき課題がフレーミングされていれば、必要なデータ取得のあり方、粒度、サンプリングのあり方などを設計できる","＊","","","",""
80,3,"アプローチ設計","分析アプローチ設計","★★","解くべき課題がフレーミングされていれば、必要な分析手法、可視化などを適切に選択できる","＊","","〇","",""
81,4,"アプローチ設計","分析アプローチ設計","★★★","複数のアプローチの組み合わせでしか解けない課題であっても、その解決までの道筋を設計できる","＊","＊","","",""
82,1,"アプローチ設計","生成AI活用","★","大規模言語モデルにおいては、事実と異なる内容がさも正しいかのように生成されることがあること（Hallucination）、これらが根本的に避けることができないことを踏まえ、利用に際しては出力を鵜呑みにしない等の注意が必要であることを知っている","","","〇","〇","⑦技術課題対応"
83,2,"アプローチ設計","生成AI活用","★","Hallucinationが起きていることに気づくための適切なアクションをとることができる（検索等によるリサーチ結果との比較や、他LLMの出力結果との比較、正確な追加情報を入力データに付与することによる出力結果の変化比較など）","","","","〇","⑦技術課題対応"
84,3,"アプローチ設計","生成AI活用","★★","大規模言語モデルでの Hallucination に惑わされないために、どのような質問は適切で、どのような質問が適切でないかを判断して利用できる","","","","〇","①使う"
85,4,"アプローチ設計","生成AI活用","★★","拡散モデルや大規模言語モデルなど生成モデルに関する技術の動向や広がりを理解し、どのような生成タスク分野に適用可能かを調査・検討できる（テキスト生成、画像生成、音源生成、ダミーデータ生成など）","＊","","","〇","⑥技術的理解"
86,5,"アプローチ設計","生成AI活用","★★★","テキスト生成や画像生成など様々な生成モデルの入出力を理解し、これらを組み合わせて目的を達成するための機能を設計できる（目的に則した画像生成を大規模言語モデルと連動させて行うためのコンテキストチューニングなど）","＊","＊","","〇","③作る-実装"
87,1,"データ理解","統計情報への正しい理解","★","単なるローデータとしての実数だけを見ても判断出来ない事象が大多数であり、母集団に占める割合などの比率的な指標でなければ数字の比較に意味がないことがわかっている","＊","","〇","",""
88,2,"データ理解","統計情報への正しい理解","★","ニュース記事などで統計情報に接したときに、数字やグラフの不適切な解釈に気づくことができる","＊","","〇","",""
89,3,"データ理解","統計情報への正しい理解","★★","自身の判断に必要となる統計情報を積極的に収集するとともに、表現に惑わされず数字を正当に評価できる（原点が0ではないグラフ、不要な3D化、不要な2軸化、目盛りの未記載など）","＊","","","",""
90,4,"データ理解","統計情報への正しい理解","★★★","統計情報から有益な知見を得るために、何と比較するべきかすみやかに把握し、収集・利用できる（業務データや過去に接触した統計情報の想起・活用を含む）","＊","","","",""
91,1,"データ理解","ビジネス観点での理解","★","ビジネス観点で仮説を持ってデータをみることの重要性と、仮に仮説と異なる結果となった場合にも、それが重大な知見である可能性を理解している","","","〇","",""
92,2,"データ理解","ビジネス観点での理解","★★","統計手法を用いる際の閾値の設定に対して、ビジネス観点で納得感のある調整ができる（年齢の刻み、商品単価、購入周期を考慮した量的変数のカテゴライズなど）","＊","","","",""
93,3,"データ理解","ビジネス観点での理解","★★★","分析プロセス全体を通して、ビジネス観点での妥当性をチェックし、データから得られた示唆が価値ある知見であるかを都度判断できる","","","〇","",""
94,1,"データ理解","意味合いの抽出、洞察","★","分析結果を元に、起きている事象の背景や意味合い（真実）を見抜くことができる","＊","","","",""
95,2,"データ理解","意味合いの抽出、洞察","★★","分析結果を元に、特異点、相違性、傾向性、関連性を見出した上で、ビジネス上の意味を捉えるためにドメイン知識を持つ人に適切な質問を投げかけられる","＊","","","",""
96,3,"データ理解","意味合いの抽出、洞察","★★","分析結果を元に、意味合いの明確化に向けた分析の深掘り、分析対象データの見直しについて方向性を設計できる","＊","","","",""
97,1,"分析評価","評価","★★","担当する分析プロジェクトの分析結果を見て検討目的と合っているか評価できる","＊","","〇","",""
98,2,"分析評価","評価","★★","分析結果が当初の目的を満たしていない場合に、問題を正しく理解し、目的達成に向けて必要な分析手順を追加・変更できる","＊","","〇","",""
99,3,"分析評価","評価","★★★","生成AIを活用したアウトプットに対して、ビジネス観点での検証プロセスの設計とアウトプットの評価軸を検討できる","＊","","","〇","③作る-実装"
100,1,"分析評価","業務へのフィードバック","★★","分析的検討に基づき、担当業務に対する必要なアクション、改善案を整理して結論を導くことができる","","","","",""
101,2,"分析評価","業務へのフィードバック","★★★","分析的検討に基づき、経営レベルで必要なアクション、改革案を整理して結論を導くことができる","","","","",""
102,1,"事業への実装","実装","★★","現場に実装する際、実行可能性を考慮し適切に対応できる（AI活用に関する基礎理解促進、業務マニュアルの改訂・浸透や、現場のトレーニングなど）","","＊","〇","",""
103,2,"事業への実装","実装","★★","自身が担当する案件を予算内で完結させるための取り組みを設計し、現場に実装できる","","＊","","",""
104,3,"事業への実装","実装","★★","異なるスキル分野の専門家や事業者と適切なコミュニケーションをとりながら事業・現場への実装を進めることができる","","","","",""
105,4,"事業への実装","実装","★★★","費用対効果、実行可能性、業務負荷を考慮し事業に実装ができる","","＊","","",""
106,1,"事業への実装","評価・改善の仕組み","★","結果、改善の度合いをモニタリングする重要性を理解している","","","〇","",""
107,2,"事業への実装","評価・改善の仕組み","★★","事業・現場へ実装するにあたりモニタリングの仕組みを適切に組み込むことができる","＊","＊","","",""
108,3,"事業への実装","評価・改善の仕組み","★★★","既存のPDCAサイクルに対し、次の改善的な取り組みにつなげることができる","","","","",""
109,1,"契約・権利保護","契約","★","二者間で交わされる一般的な契約の概念を理解している（請負契約と準委任契約の役務や成果物の違いなど）","","","","",""
110,2,"契約・権利保護","契約","★★","生成されたデータや学習済みモデルに関する権利保護に必要な法令を考慮し対処できる(契約法、特許法、著作権法、不正競争防止法など)","","","","〇","⑧倫理課題対応"
111,3,"契約・権利保護","契約","★★","分析基盤実装などの開発・運用や、開発済み分析モデルの運用について、品質、可用性、責任などの観点で契約（SLA: Service Level Agreement など）にまとめることができる","","","","",""
112,4,"契約・権利保護","契約","★★","性能保証を求められた際に、分析で作るモデルでは一般的に性能保証できないことを伝える、もしくは、事前に評価方法を定義するなど契約に盛り込むことができる","","","","",""
113,5,"契約・権利保護","契約","★★★","AI・モデル開発における生成データや学習済みモデルに対し、成果物に対する責任の所在、権利の帰属を専門家と協力しつつ、契約内容に盛り込むことができる(著作、利用許諾、営業機密、情報開示、利用範囲など)","","＊","","〇","⑧倫理課題対応"
114,1,"契約・権利保護","権利保護","★","AI・データを活用する際に、組織で規定された権利保護のガイドラインを説明できる","","","〇","〇","⑧倫理課題対応"
115,2,"契約・権利保護","権利保護","★★","AI・モデル開発において、既存ライブラリを活用した場合の知財リスクの確認や、適切なガイドラインを参照・確認できる（経済産業省「AI・データの利用に関する契約ガイドライン」など）","＊","＊","〇","〇","⑧倫理課題対応"
116,3,"契約・権利保護","権利保護","★★★","AI・モデルの新規開発や新サービス導入に伴う権利保護のガイドラインを定義できる","＊","＊","","〇","⑧倫理課題対応"
117,4,"契約・権利保護","権利保護","★★★","手法・アルゴリズム構築時に、他者の権利を侵害をしない知財リスク管理や、他者からの権利侵害に備えた特許出願やデータ保全を含む適切な対応ができる","＊","＊","","",""
118,1,"PJマネジメント","プロジェクト発足","★","プロジェクトにおけるステークホルダーや役割分担、プロジェクト管理・進行に関するツール・方法論が理解できる","","＊","","",""
119,2,"PJマネジメント","プロジェクト発足","★★","アジャイル開発体制のポイントを理解した上で、アジャイルな開発チームを迅速に立ち上げ、推進できる","","＊","","",""
120,3,"PJマネジメント","プロジェクト発足","★★","類似事例の実績やProof of Concept（PoC）を適宜利用して、プロジェクト計画に関わるステークホルダーとの合意を形成できる","","","","",""
121,4,"PJマネジメント","プロジェクト発足","★★","PoCのみで終わらないように、PoCプロジェクト立ち上げ時点で実務実装を想定した計画を策定できる","","","","",""
122,1,"PJマネジメント","プロジェクト計画","★★","ビジネス要件を整理し、分析・データ活用のプロジェクトを企画・提案できる","＊","＊","〇","",""
123,2,"PJマネジメント","プロジェクト計画","★★","プロジェクト立ち上げに向けて、目的・ゴールに沿ったアプローチ、成果物、納期、リソース配分を整理し、WBSに落とし込むことができる","","＊","","",""
124,3,"PJマネジメント","プロジェクト計画","★★","分析プロジェクトのデータ、分析結果の中から、どれを顧客、外部に開示すべきか、あらかじめ判断できる","","","","",""
125,4,"PJマネジメント","プロジェクト計画","★★★","依頼元やステークホルダーのビジネスをデータ面から理解し、分析・データ活用のプロジェクトを立ち上げ、プロジェクトにかかるコストと依頼元の利益を説明できる","＊","＊","","",""
126,1,"PJマネジメント","運用","★★★","運用しているサービスやシステムに対して、稼働状況や情報漏洩の監視などを実施し、適切にサービスレベルを維持・管理できる","＊","＊","","",""
127,1,"PJマネジメント","横展開","★★★","特定のビジネス課題に向けた新しいソリューションを個別の現場の特性を考慮し横展開できる","＊","＊","","",""
128,1,"PJマネジメント","方針転換","★★","AI活用範囲の広がりに応じて、ハードウェア、ソフトウェア、通信環境などの見直しを検討できる","","＊","","〇","⑨推進課題対応"
129,2,"PJマネジメント","方針転換","★★★","プロジェクトの進捗や達成状況が芳しくない場合や、想定外の事象が起こった場合に、リカバリープランを見極めた上で、時には大幅な方針転換や終了の判断ができる","＊","＊","〇","",""
130,3,"PJマネジメント","方針転換","★★★","マルチモーダルAIの今後の発展を踏まえ、自社の持つインフラ環境の限界を考慮し、データ活用戦略の見直しやデータ基盤の再構築を検討できる","","＊","","〇","⑦技術課題対応"
131,1,"PJマネジメント","完了","★★★","プロジェクトやサービスが終了した場合に、契約内容に応じたデータ削除や運用管理体制の引継ぎ/終了等、適切にプロジェクト完了処理ができる","","＊","","",""
132,1,"PJマネジメント","リソースマネジメント","★","指示に従ってスケジュールを守り、チームリーダーに頼まれた自分の仕事を完遂できる","","","〇","",""
133,2,"PJマネジメント","リソースマネジメント","★★","プロジェクトに設定された予算やツール、システム環境を管理・活用し、プロジェクトを進行できる（適切なロールや権限設定、クラウドやAIサービスの課金状況の把握など）","＊","＊","〇","",""
134,3,"PJマネジメント","リソースマネジメント","★★","5名前後のチームをスケジュール通りに進行させ、ステークホルダーに対して、期待値に見合うアウトプットを安定的に生み出せる","","","","",""
135,4,"PJマネジメント","リソースマネジメント","★★","プロジェクトメンバーのスキルや特性を見極め、適切な業務範囲を設計し、曖昧な指示で終わらせず、明確な指示出しができる","","","","",""
136,5,"PJマネジメント","リソースマネジメント","★★★","プロジェクトに求められるスキル要件と各メンバーのスキル・成長目標・性格をふまえ、現実的にトレードオフ解消とシナジーを狙ったリソースマネジメントができる","＊","＊","","",""
137,6,"PJマネジメント","リソースマネジメント","★★★","プロジェクトメンバーの技量を把握した上で、プロジェクト完遂に必要なツール選定、予算策定、スコープ設定、またはアウトソーシング体制を検討・構築できる","＊","＊","","",""
138,7,"PJマネジメント","リソースマネジメント","★★★","複数のチームから編成されるプロジェクトにおいて、スケジュール通りに進行させ、複合的なステークホルダーに対し、期待値を超えたアウトプットを安定的に生み出せる","＊","＊","","",""
139,1,"PJマネジメント","リスクマネジメント","★","担当するタスクの遅延や障害などを発見した場合、迅速かつ適切に報告ができる","","","〇","",""
140,2,"PJマネジメント","リスクマネジメント","★★","プロジェクトでの遅延や障害などの発生を検知し、リカバリーするための提案・設計ができる","＊","＊","","",""
141,3,"PJマネジメント","リスクマネジメント","★★★","期待される成果が達成できないケースを早期に見極め、プロジェクトの終了条件をステークホルダーと整理・合意できる","","","","",""
142,4,"PJマネジメント","リスクマネジメント","★★★","プロジェクトの推進に深く影響するようなリスクを早期に察知し、適切にギャップを埋め、つなぎ直し、それに合わせチームの再編成も随時行い、障害などの発生の大半を事前に抑制できる","","","","",""
143,5,"PJマネジメント","リスクマネジメント","★★★","プロジェクトに何らかの遅延・障害などが発生した場合、適切なリカバリー手順の判断、リカバリー体制構築、プロジェクトオーナーに対する迅速な対応ができる","","","〇","",""
144,6,"PJマネジメント","リスクマネジメント","★★★","マルウェア、DDoS攻撃などの深刻なセキュリティ攻撃を受けた場合に対応する最新の技術を把握し、対応する専門組織（CSIRT）の構成を責任者にすみやかに提案できる","","＊","","",""
145,1,"組織マネジメント","育成/ナレッジ共有","★★","自身とチームメンバーのスキルを大まかに把握し、担当するプロジェクトを通して、チームメンバーへのスキル成長のためのアドバイスや目標管理ができる","＊","＊","","",""
146,2,"組織マネジメント","育成/ナレッジ共有","★★","チームメンバーのスキルに応じ、研修参加や情報収集への適切なアドバイスやチーム内でのナレッジ共有を推進できる","＊","＊","","",""
147,3,"組織マネジメント","育成/ナレッジ共有","★★","チーム全員がデータを取り扱う人間として相応しい倫理を持てるよう、適切にチームを管理できる","","","","",""
148,4,"組織マネジメント","育成/ナレッジ共有","★★★","プロジェクトに設定された予算やツール、システム環境をチームのスキル・作業量や費用状況を適宜監視しながら活用し、プロジェクトを進行できる","","","","〇","⑨推進課題対応"
149,5,"組織マネジメント","育成/ナレッジ共有","★★★","チームの各メンバーが不安や恥ずかしさを感じることなくチャレンジすることができ、積極的に失敗を共有し改善に向けて問題提起と話し合いを行う、開かれた雰囲気を醸成できる","","","","",""
150,6,"組織マネジメント","育成/ナレッジ共有","★★★","チームの各メンバーに対し、データサイエンティストとしてのスキル目標の設定、到達させるための適切なアドバイスができる","＊","＊","〇","",""
151,7,"組織マネジメント","育成/ナレッジ共有","★★★","データサイエンティストに求められるスキルについて、育成制度の設計やナレッジ共有の仕組み構築と運営ができる","＊","＊","","","⑥技術的理解"
152,8,"組織マネジメント","育成/ナレッジ共有","★★★","チームに必要な情報やデータサイエンスの新しい技術・手法に関する情報収集方法や学習方法を主導し、自ら情報を取捨選択し、チームにフィードバックできる","＊","＊","","",""
153,1,"組織マネジメント","組織マネジメント","★★","所属する組織全体におけるデータサイエンスチームの役割を認識し、担当するプロジェクトにおいて、組織内や他部門・他社間でのタスク設定や調整ができる","","","","",""
154,2,"組織マネジメント","組織マネジメント","★★","現場・プロジェクトレベルの活動単位において、生成AIなどの技術動向をキャッチアップし、現場に即した活用ルールを作りながら推進できる","","","","〇","⑨推進課題対応"
155,3,"組織マネジメント","組織マネジメント","★★★","データサイエンスチームを自社・他社の様々な組織と関連付け、対象組織内での役割の規定、目標設定を行うことができる","","","〇","",""
